arm,group,metric,task,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-e4b,mae,node_count,components,,False,excluded,mae/gemma4-e4b/node_count,30,30,0,-1.2666666666666666,-2.7333333333333334,-0.03333333333333333,0.12288771122887711,False,False
main_sweep,gemma4-e4b,mae,node_count,degree,,False,excluded,mae/gemma4-e4b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_count,filler,,False,excluded,mae/gemma4-e4b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_count,rwse,,False,excluded,mae/gemma4-e4b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_count,all,,True,excluded,mae/gemma4-e4b/node_count/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
main_sweep,gemma4-e4b,mae,edge_count,clustering,,False,excluded,mae/gemma4-e4b/edge_count,24,24,7,-0.875,-2.8333333333333335,0.4166666666666667,0.7536246375362464,False,False
main_sweep,gemma4-e4b,mae,edge_count,components,,False,excluded,mae/gemma4-e4b/edge_count,24,24,9,-0.041666666666666664,-0.75,0.625,1.0,False,False
main_sweep,gemma4-e4b,mae,edge_count,degree,,False,excluded,mae/gemma4-e4b/edge_count,24,24,6,-0.08333333333333333,-0.7916666666666666,0.5833333333333334,0.7542245775422458,False,False
main_sweep,gemma4-e4b,mae,edge_count,filler,,False,excluded,mae/gemma4-e4b/edge_count,23,23,9,-0.13043478260869565,-1.0434782608695652,0.6521739130434783,1.0,False,False
main_sweep,gemma4-e4b,mae,edge_count,rwse,,False,excluded,mae/gemma4-e4b/edge_count,22,22,12,-0.18181818181818182,-0.6818181818181818,0.13636363636363635,1.0,False,False
main_sweep,gemma4-e4b,mae,edge_count,all,,True,excluded,mae/gemma4-e4b/edge_count/derived,23,23,9,-1.8695652173913044,-5.478260869565218,0.21739130434782608,0.2548745125487451,False,
main_sweep,gemma4-e4b,mae,node_degree,clustering,,False,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_degree,components,,False,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.5,-1.4,-0.0,0.5008499150084992,False,False
main_sweep,gemma4-e4b,mae,node_degree,degree,,False,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.4,-1.2,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_degree,filler,,False,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_degree,rwse,,False,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,mae,node_degree,all,,True,excluded,mae/gemma4-e4b/node_degree/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
main_sweep,qwen3-14b,mae,node_count,clustering,,False,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,mae,node_count,components,,False,excluded,mae/qwen3-14b/node_count,30,30,0,0.06666666666666667,-0.4,0.6,1.0,False,False
main_sweep,qwen3-14b,mae,node_count,degree,,False,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,mae,node_count,filler,,False,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,mae,node_count,rwse,,False,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,mae,node_count,all,,True,excluded,mae/qwen3-14b/node_count/derived,30,30,0,0.16666666666666666,-0.1,0.6,1.0,False,
main_sweep,qwen3-14b,mae,edge_count,clustering,,False,excluded,mae/qwen3-14b/edge_count,30,30,0,0.9333333333333333,0.36666666666666664,1.6,0.007699230076992301,True,False
main_sweep,qwen3-14b,mae,edge_count,components,,False,excluded,mae/qwen3-14b/edge_count,30,30,0,0.3333333333333333,-0.2,0.9333333333333333,0.31866813318668136,False,False
main_sweep,qwen3-14b,mae,edge_count,degree,,False,excluded,mae/qwen3-14b/edge_count,30,30,0,1.8666666666666667,0.4,3.566666666666667,0.043695630436956304,False,False
main_sweep,qwen3-14b,mae,edge_count,filler,,False,excluded,mae/qwen3-14b/edge_count,30,30,0,-2.466666666666667,-7.833333333333333,0.36666666666666664,0.8162183781621838,False,False
main_sweep,qwen3-14b,mae,edge_count,rwse,,False,excluded,mae/qwen3-14b/edge_count,30,30,0,-2.8,-8.3,0.3,0.31026897310268975,False,False
main_sweep,qwen3-14b,mae,edge_count,all,,True,excluded,mae/qwen3-14b/edge_count/derived,30,30,0,0.3333333333333333,-0.13333333333333333,0.8666666666666667,0.2786721327867213,False,
main_sweep,qwen3-14b,mae,node_degree,clustering,,False,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,mae,node_degree,components,,False,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,mae,node_degree,degree,,False,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,mae,node_degree,filler,,False,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,mae,node_degree,rwse,,False,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,mae,node_degree,all,,True,excluded,mae/qwen3-14b/node_degree/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
main_sweep,qwen3-8b,mae,node_count,clustering,,False,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_count,components,,False,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_count,degree,,False,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_count,filler,,False,excluded,mae/qwen3-8b/node_count,30,30,0,-0.23333333333333334,-0.4,-0.1,0.0187981201879812,False,False
main_sweep,qwen3-8b,mae,node_count,rwse,,False,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_count,all,,True,excluded,mae/qwen3-8b/node_count/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
main_sweep,qwen3-8b,mae,edge_count,clustering,,False,excluded,mae/qwen3-8b/edge_count,30,30,0,0.5,-0.06666666666666667,1.2666666666666666,0.19558044195580443,False,False
main_sweep,qwen3-8b,mae,edge_count,components,,False,excluded,mae/qwen3-8b/edge_count,30,30,0,0.26666666666666666,-0.36666666666666664,1.0666666666666667,0.6241375862413758,False,False
main_sweep,qwen3-8b,mae,edge_count,degree,,False,excluded,mae/qwen3-8b/edge_count,30,30,0,-0.26666666666666666,-3.933333333333333,2.1333333333333333,0.9934006599340066,False,False
main_sweep,qwen3-8b,mae,edge_count,filler,,False,excluded,mae/qwen3-8b/edge_count,30,30,0,-2.7333333333333334,-7.733333333333333,0.5333333333333333,0.34106589341065896,False,False
main_sweep,qwen3-8b,mae,edge_count,rwse,,False,excluded,mae/qwen3-8b/edge_count,29,29,1,-12.758620689655173,-19.862068965517242,-6.275862068965517,0.000999900009999,True,False
main_sweep,qwen3-8b,mae,edge_count,all,,True,excluded,mae/qwen3-8b/edge_count/derived,29,29,1,0.3103448275862069,-0.5517241379310345,1.206896551724138,0.5634436556344365,False,
main_sweep,qwen3-8b,mae,node_degree,clustering,,False,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_degree,components,,False,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_degree,degree,,False,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_degree,filler,,False,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_degree,rwse,,False,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,mae,node_degree,all,,True,excluded,mae/qwen3-8b/node_degree/derived,30,30,0,-0.0,-0.0,-0.0,1.0,False,
