arm,model_size,thinking,task,condition,density_class,index,instance_id,graph_id,exact,f1,abs_error,signed_error,parsed,hit_cap,pred,gold,n_nodes,n_edges,density_real,mean_degree,n_components,largest_cc,n_triangles,mean_clustering,target_id,target_degree,target_clustering,gold_is_yes,pair_common_neighbors,pair_distance,gold_magnitude,primer_chars,encoding_chars,n_new_tokens,resp_chars,n_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes
qwen3-1.7b,1.7b,0,node_degree,filler,0.1,18,node_degree/size40/p0.1/18,p0.1/18,1.0,1.0,0,0,1,0,4,4,40,80,0.102564,4.0,2,39,13,0.138452,2,4,0,,,,4,1829,1960,83,254,4,0,0,0
qwen3-1.7b,1.7b,0,node_count,degree,0.1,19,node_count/size40/p0.1/19,p0.1/19,0.0,0.0,1,-1,1,0,39,40,40,90,0.115385,4.5,1,40,17,0.117689,,,,,,,40,870,2063,401,590,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,all,0.1,19,connected_nodes/size40/p0.1/19,p0.1/19,1.0,1.0,,,1,0,"2, 3, 21, 30","2, 3, 21, 30",40,90,0.115385,4.5,1,40,17,0.117689,23,4,0.333333,,,,,4670,2063,117,301,2,0,0,0
qwen3-1.7b,1.7b,0,edge_count,clustering,0.1,20,edge_count/size40/p0.1/20,p0.1/20,0.0,0.0,27,27,1,0,103,76,40,76,0.097436,3.8,1,40,5,0.04875,,,,,,,76,1629,1963,1361,2896,40,0,0,1
qwen3-1.7b,1.7b,0,cycle_check,none,0.1,20,cycle_check/size40/p0.1/20,p0.1/20,0.0,0.0,,,0,1,,"Yes, there is a cycle",40,76,0.097436,3.8,1,40,5,0.04875,,,,1,,,,0,1963,8192,10922,0,0,0,0
qwen3-1.7b,1.7b,0,node_degree,rwse,0.1,21,node_degree/size40/p0.1/21,p0.1/21,0.0,0.0,1,1,1,0,3,2,40,73,0.09359,3.65,3,38,12,0.10254,37,2,1.0,,,,2,2949,1882,78,239,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,components,0.1,22,node_count/size40/p0.1/22,p0.1/22,0.0,0.0,1,-1,1,0,39,40,40,100,0.128205,5.0,2,39,26,0.171091,,,,,,,40,38,2114,400,588,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,filler,0.1,22,connected_nodes/size40/p0.1/22,p0.1/22,1.0,1.0,,,1,0,"7, 13, 17, 19, 21, 26, 30","7, 13, 17, 19, 21, 26, 30",40,100,0.128205,5.0,2,39,26,0.171091,27,7,0.047619,,,,,1829,2114,150,372,1,0,0,0
qwen3-1.7b,1.7b,0,edge_count,degree,0.1,23,edge_count/size40/p0.1/23,p0.1/23,0.0,0.0,7,-7,1,0,67,74,40,74,0.094872,3.7,3,38,11,0.1,,,,,,,74,869,1884,2168,4099,0,1,0,0
qwen3-1.7b,1.7b,0,edge_existence,all,0.1,23,edge_existence/size40/p0.1/23,p0.1/23,1.0,1.0,,,1,0,No,No,40,74,0.094872,3.7,3,38,11,0.1,38,1,0,0,0,4,,4669,1884,213,651,14,0,0,0
qwen3-1.7b,1.7b,0,node_degree,clustering,0.1,24,node_degree/size40/p0.1/24,p0.1/24,1.0,1.0,0,0,1,0,4,4,40,90,0.115385,4.5,2,39,15,0.105337,9,4,0,,,,4,1629,2038,75,226,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,none,0.1,25,node_count/size40/p0.1/25,p0.1/25,0.0,0.0,1,-1,1,0,39,40,40,70,0.089744,3.5,2,39,4,0.027338,,,,,,,40,0,1879,400,595,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,rwse,0.1,25,connected_nodes/size40/p0.1/25,p0.1/25,1.0,1.0,,,1,0,"1, 14, 15, 17, 30, 33","1, 14, 15, 17, 30, 33",40,70,0.089744,3.5,2,39,4,0.027338,27,6,0.066667,,,,,2949,1879,164,370,3,0,0,0
qwen3-1.7b,1.7b,0,edge_count,components,0.1,26,edge_count/size40/p0.1/26,p0.1/26,0.0,0.0,29,29,1,0,116,87,40,87,0.111538,4.35,2,38,21,0.158929,,,,,,,87,38,2047,1467,2819,40,0,0,1
qwen3-1.7b,1.7b,0,edge_existence,filler,0.1,26,edge_existence/size40/p0.1/26,p0.1/26,1.0,1.0,,,1,0,No,No,40,87,0.111538,4.35,2,38,21,0.158929,10,4,0,0,1,2,,1829,2047,197,603,14,0,0,0
qwen3-1.7b,1.7b,0,node_degree,degree,0.1,27,node_degree/size40/p0.1/27,p0.1/27,1.0,1.0,0,0,1,0,7,7,40,88,0.112821,4.4,1,40,16,0.124821,37,7,0.047619,,,,7,869,2043,109,305,4,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,all,0.1,27,cycle_check/size40/p0.1/27,p0.1/27,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,88,0.112821,4.4,1,40,16,0.124821,,,,1,,,,4669,2043,492,1453,6,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,clustering,0.1,28,connected_nodes/size40/p0.1/28,p0.1/28,1.0,1.0,,,1,0,"0, 11, 14, 26, 27, 35","0, 11, 14, 26, 27, 35",40,84,0.107692,4.2,1,40,12,0.084563,1,6,0.066667,,,,,1629,2020,114,257,3,0,0,0
qwen3-1.7b,1.7b,0,edge_count,none,0.1,29,edge_count/size40/p0.1/29,p0.1/29,0.0,0.0,48,48,1,0,136,88,40,88,0.112821,4.4,2,39,18,0.137937,,,,,,,88,0,2021,1481,3155,39,0,0,1
qwen3-1.7b,1.7b,0,edge_existence,rwse,0.1,29,edge_existence/size40/p0.1/29,p0.1/29,1.0,1.0,,,1,0,No,No,40,88,0.112821,4.4,2,39,18,0.137937,9,3,0,0,0,4,,2949,2021,212,650,12,0,0,0
qwen3-1.7b,1.7b,0,node_degree,components,0.1,30,node_degree/size40/p0.1/30,p0.1/30,1.0,1.0,0,0,1,0,4,4,40,71,0.091026,3.55,1,40,4,0.05869,14,4,0.166667,,,,4,37,1923,79,233,3,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,filler,0.1,30,cycle_check/size40/p0.1/30,p0.1/30,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,71,0.091026,3.55,1,40,4,0.05869,,,,1,,,,1829,1923,1199,2699,41,0,0,1
qwen3-1.7b,1.7b,0,connected_nodes,degree,0.1,31,connected_nodes/size40/p0.1/31,p0.1/31,1.0,1.0,,,1,0,"11, 33","11, 33",40,82,0.105128,4.1,1,40,10,0.095734,30,2,0,,,,,869,2005,83,256,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,all,0.1,32,node_count/size40/p0.1/32,p0.1/32,0.0,0.0,1,-1,1,0,39,40,40,79,0.101282,3.95,3,38,12,0.167262,,,,,,,40,4669,1918,391,545,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,clustering,0.1,32,edge_existence/size40/p0.1/32,p0.1/32,1.0,1.0,,,1,0,No,No,40,79,0.101282,3.95,3,38,12,0.167262,11,7,0.190476,0,0,3,,1629,1918,223,560,10,0,0,0
qwen3-1.7b,1.7b,0,node_degree,none,0.1,33,node_degree/size40/p0.1/33,p0.1/33,0.0,0.0,1,1,1,0,1,0,40,73,0.09359,3.65,3,37,7,0.072976,35,0,0,,,,0,0,1901,221,748,10,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,rwse,0.1,33,cycle_check/size40/p0.1/33,p0.1/33,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,73,0.09359,3.65,3,37,7,0.072976,,,,1,,,,2949,1901,178,608,6,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,components,0.1,34,connected_nodes/size40/p0.1/34,p0.1/34,1.0,1.0,,,1,0,"1, 5, 7, 13, 15, 18, 19, 24, 29, 39","1, 5, 7, 13, 15, 18, 19, 24, 29, 39",40,92,0.117949,4.6,2,39,18,0.111429,4,10,0.133333,,,,,38,2050,159,305,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,filler,0.1,35,node_count/size40/p0.1/35,p0.1/35,1.0,1.0,0,0,1,0,40,40,40,77,0.098718,3.85,1,40,4,0.0475,,,,,,,40,1829,1970,210,406,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,degree,0.1,35,edge_existence/size40/p0.1/35,p0.1/35,0.0,0.0,,,1,0,Yes,No,40,77,0.098718,3.85,1,40,4,0.0475,34,7,0,0,2,2,,869,1970,212,580,11,0,0,0
qwen3-1.7b,1.7b,0,edge_count,all,0.1,36,edge_count/size40/p0.1/36,p0.1/36,0.0,0.0,73,73,1,0,146,73,40,73,0.09359,3.65,2,39,10,0.09246,,,,,,,73,4669,1918,1696,3927,40,0,0,1
qwen3-1.7b,1.7b,0,cycle_check,clustering,0.1,36,cycle_check/size40/p0.1/36,p0.1/36,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,73,0.09359,3.65,2,39,10,0.09246,,,,1,,,,1629,1918,456,1436,3,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,none,0.1,37,connected_nodes/size40/p0.1/37,p0.1/37,1.0,1.0,,,1,0,"0, 3, 8, 11, 26, 33, 34","0, 3, 8, 11, 26, 33, 34",40,71,0.091026,3.55,1,40,7,0.080952,12,7,0.095238,,,,,0,1916,124,271,1,0,0,0
qwen3-1.7b,1.7b,0,node_count,rwse,0.1,38,node_count/size40/p0.1/38,p0.1/38,0.0,0.0,1,-1,1,0,39,40,40,80,0.102564,4.0,2,39,10,0.099762,,,,,,,40,2949,1956,394,572,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,components,0.1,38,edge_existence/size40/p0.1/38,p0.1/38,1.0,1.0,,,1,0,No,No,40,80,0.102564,4.0,2,39,10,0.099762,32,7,0.142857,0,0,3,,38,1956,163,489,8,0,0,0
qwen3-1.7b,1.7b,0,edge_count,filler,0.1,39,edge_count/size40/p0.1/39,p0.1/39,0.0,0.0,81,-81,1,1,1,82,40,82,0.105128,4.1,2,39,10,0.087579,,,,,,,82,1829,1974,8192,10831,0,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,degree,0.1,39,cycle_check/size40/p0.1/39,p0.1/39,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,82,0.105128,4.1,2,39,10,0.087579,,,,1,,,,869,1974,482,1468,2,0,0,0
qwen3-1.7b,1.7b,0,node_degree,all,0.1,40,node_degree/size40/p0.1/40,p0.1/40,1.0,1.0,0,0,1,0,5,5,40,72,0.092308,3.6,2,39,10,0.134663,3,5,0.1,,,,5,4669,1881,83,247,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,clustering,0.1,41,node_count/size40/p0.1/41,p0.1/41,1.0,1.0,0,0,1,0,40,40,40,89,0.114103,4.45,4,37,16,0.129206,,,,,,,40,1629,1973,85,293,4,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,none,0.1,41,edge_existence/size40/p0.1/41,p0.1/41,1.0,1.0,,,1,0,No,No,40,89,0.114103,4.45,4,37,16,0.129206,3,4,0.166667,0,0,-1,,0,1973,207,642,12,0,0,0
qwen3-1.7b,1.7b,0,edge_count,rwse,0.1,42,edge_count/size40/p0.1/42,p0.1/42,0.0,0.0,30,30,1,0,100,70,40,70,0.089744,3.5,2,39,5,0.069881,,,,,,,70,2949,1869,1417,3026,39,0,0,1
qwen3-1.7b,1.7b,0,cycle_check,components,0.1,42,cycle_check/size40/p0.1/42,p0.1/42,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,70,0.089744,3.5,2,39,5,0.069881,,,,1,,,,38,1869,2313,4686,82,0,0,1
qwen3-1.7b,1.7b,0,node_degree,filler,0.1,43,node_degree/size40/p0.1/43,p0.1/43,1.0,1.0,0,0,1,0,3,3,40,87,0.111538,4.35,2,39,9,0.049107,28,3,0,,,,3,1829,2004,75,229,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,degree,0.1,44,node_count/size40/p0.1/44,p0.1/44,0.0,0.0,1,-1,1,0,39,40,40,90,0.115385,4.5,1,40,11,0.119583,,,,,,,40,869,2059,401,595,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,all,0.1,44,connected_nodes/size40/p0.1/44,p0.1/44,0.0,0.8000000000000002,,,1,0,"6, 12, 13, 22, 33","6, 13, 14, 22, 33",40,90,0.115385,4.5,1,40,11,0.119583,2,5,0.2,,,,,4669,2059,120,330,3,0,0,0
qwen3-1.7b,1.7b,0,edge_count,clustering,0.1,45,edge_count/size40/p0.1/45,p0.1/45,0.0,0.0,35,35,1,0,116,81,40,81,0.103846,4.05,3,38,15,0.097758,,,,,,,81,1629,1938,1446,3196,40,0,0,1
qwen3-1.7b,1.7b,0,cycle_check,none,0.1,45,cycle_check/size40/p0.1/45,p0.1/45,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,81,0.103846,4.05,3,38,15,0.097758,,,,1,,,,0,1938,364,1232,2,0,0,0
qwen3-1.7b,1.7b,0,node_degree,rwse,0.1,46,node_degree/size40/p0.1/46,p0.1/46,1.0,1.0,0,0,1,0,5,5,40,77,0.098718,3.85,1,40,11,0.091567,23,5,0,,,,5,2949,1968,85,243,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,components,0.1,47,node_count/size40/p0.1/47,p0.1/47,0.0,0.0,1,-1,1,0,39,40,40,68,0.087179,3.4,1,40,8,0.104167,,,,,,,40,37,1897,400,588,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,filler,0.1,47,connected_nodes/size40/p0.1/47,p0.1/47,1.0,1.0,,,1,0,"4, 34","4, 34",40,68,0.087179,3.4,1,40,8,0.104167,37,2,0,,,,,1829,1897,69,211,2,0,0,0
qwen3-1.7b,1.7b,0,edge_count,degree,0.1,48,edge_count/size40/p0.1/48,p0.1/48,0.0,0.0,13,13,1,0,84,71,40,71,0.091026,3.55,2,39,10,0.101845,,,,,,,71,869,1892,1148,2119,0,1,0,0
qwen3-1.7b,1.7b,0,edge_existence,all,0.1,48,edge_existence/size40/p0.1/48,p0.1/48,1.0,1.0,,,1,0,Yes,Yes,40,71,0.091026,3.55,2,39,10,0.101845,5,4,0.166667,1,1,1,,4669,1892,188,619,12,0,0,0
qwen3-1.7b,1.7b,0,node_degree,clustering,0.1,49,node_degree/size40/p0.1/49,p0.1/49,0.0,0.0,1,1,1,0,1,0,40,73,0.09359,3.65,2,39,10,0.111131,39,0,0,,,,0,1629,1901,151,455,8,0,0,0
qwen3-1.7b,1.7b,0,node_count,none,0.1,50,node_count/size40/p0.1/50,p0.1/50,0.0,0.0,1,-1,1,0,39,40,40,74,0.094872,3.7,2,39,11,0.11369,,,,,,,40,0,1906,404,626,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,rwse,0.1,50,connected_nodes/size40/p0.1/50,p0.1/50,1.0,1.0,,,1,0,"2, 4, 23, 26, 29, 39","2, 4, 23, 26, 29, 39",40,74,0.094872,3.7,2,39,11,0.11369,19,6,0.2,,,,,2949,1906,161,371,4,0,0,0
qwen3-1.7b,1.7b,0,edge_count,components,0.1,51,edge_count/size40/p0.1/51,p0.1/51,0.0,0.0,54,54,1,0,134,80,40,80,0.102564,4.0,1,40,9,0.080357,,,,,,,80,37,1986,1632,2500,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,filler,0.1,51,edge_existence/size40/p0.1/51,p0.1/51,1.0,1.0,,,1,0,No,No,40,80,0.102564,4.0,1,40,9,0.080357,17,8,0.142857,0,1,2,,1829,1986,166,470,9,0,0,0
qwen3-1.7b,1.7b,0,node_degree,degree,0.1,52,node_degree/size40/p0.1/52,p0.1/52,1.0,1.0,0,0,1,0,1,1,40,81,0.103846,4.05,1,40,12,0.08619,9,1,0,,,,1,869,1994,66,225,4,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,all,0.1,52,cycle_check/size40/p0.1/52,p0.1/52,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,81,0.103846,4.05,1,40,12,0.08619,,,,1,,,,4669,1994,1582,3457,41,0,0,1
qwen3-1.7b,1.7b,0,connected_nodes,clustering,0.1,53,connected_nodes/size40/p0.1/53,p0.1/53,1.0,1.0,,,1,0,"12, 32, 36","12, 32, 36",40,60,0.076923,3.0,2,39,2,0.032361,11,3,0.333333,,,,,1629,1814,129,361,4,0,0,0
qwen3-1.7b,1.7b,0,edge_count,none,0.1,54,edge_count/size40/p0.1/54,p0.1/54,0.0,0.0,3,3,1,0,79,76,40,76,0.097436,3.8,3,38,13,0.088214,,,,,,,76,0,1883,3638,7237,44,1,0,1
qwen3-1.7b,1.7b,0,edge_existence,rwse,0.1,54,edge_existence/size40/p0.1/54,p0.1/54,1.0,1.0,,,1,0,No,No,40,76,0.097436,3.8,3,38,13,0.088214,0,3,0,0,0,3,,2949,1883,206,633,10,0,0,0
qwen3-1.7b,1.7b,0,node_degree,components,0.1,55,node_degree/size40/p0.1/55,p0.1/55,1.0,1.0,0,0,1,0,3,3,40,79,0.101282,3.95,2,39,9,0.087857,1,3,0,,,,3,38,1947,70,214,3,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,filler,0.1,55,cycle_check/size40/p0.1/55,p0.1/55,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,79,0.101282,3.95,2,39,9,0.087857,,,,1,,,,1829,1947,352,1113,1,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,degree,0.1,56,connected_nodes/size40/p0.1/56,p0.1/56,1.0,1.0,,,1,0,"2, 35","2, 35",40,71,0.091026,3.55,2,39,3,0.029861,4,2,0,,,,,869,1890,94,288,4,0,0,0
qwen3-1.7b,1.7b,0,node_count,all,0.1,57,node_count/size40/p0.1/57,p0.1/57,0.0,0.0,1,-1,1,0,39,40,40,69,0.088462,3.45,2,39,9,0.142262,,,,,,,40,4669,1875,444,657,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,clustering,0.1,57,edge_existence/size40/p0.1/57,p0.1/57,1.0,1.0,,,1,0,No,No,40,69,0.088462,3.45,2,39,9,0.142262,37,2,1.0,0,0,5,,1629,1875,177,564,15,0,0,0
qwen3-1.7b,1.7b,0,node_degree,none,0.1,58,node_degree/size40/p0.1/58,p0.1/58,1.0,1.0,0,0,1,0,3,3,40,93,0.119231,4.65,1,40,13,0.125159,21,3,0.333333,,,,3,0,2086,74,223,3,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,rwse,0.1,58,cycle_check/size40/p0.1/58,p0.1/58,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,93,0.119231,4.65,1,40,13,0.125159,,,,1,,,,2949,2086,381,1161,6,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,components,0.1,59,connected_nodes/size40/p0.1/59,p0.1/59,1.0,1.0,,,1,0,"13, 2","2, 13",40,67,0.085897,3.35,3,38,6,0.082619,29,2,0,,,,,38,1828,96,303,2,0,0,0
qwen3-1.7b,1.7b,0,node_count,filler,0.1,60,node_count/size40/p0.1/60,p0.1/60,1.0,1.0,0,0,1,0,40,40,40,78,0.1,3.9,1,40,9,0.124643,,,,,,,40,1829,1977,207,382,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,degree,0.1,60,edge_existence/size40/p0.1/60,p0.1/60,1.0,1.0,,,1,0,No,No,40,78,0.1,3.9,1,40,9,0.124643,3,4,0.166667,0,0,3,,869,1977,168,515,10,0,0,0
