arm,condition,instance_id,density,task,correct,pred,edge,said_yes,n_statements,fabricated,states_nonedge,drops_edge,stated,invented,missed,kind,invents,chain,misread
qwen3-1.7b,all,edge_existence/size40/p0.1/73,0.1,edge_existence,0,Yes,False,True,6.0,True,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/76,0.1,edge_existence,0,Yes,False,True,3.0,True,True,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/79,0.1,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/82,0.1,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/85,0.1,edge_existence,0,Yes,False,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/88,0.1,edge_existence,1,No,False,False,2.0,True,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/91,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/98,0.1,edge_existence,1,No,False,False,3.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/1,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/4,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/7,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/10,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/13,0.2,edge_existence,0,Yes,False,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/16,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/23,0.2,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/26,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/29,0.2,edge_existence,1,No,False,False,1.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/32,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/35,0.2,edge_existence,0,Yes,False,True,4.0,True,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/38,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/41,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/48,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/51,0.2,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/54,0.2,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/57,0.2,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/60,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/63,0.2,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/66,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/73,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/76,0.2,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/79,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/82,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/85,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/88,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/91,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/98,0.2,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/1,0.35,edge_existence,0,Yes,False,True,1.0,True,True,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/4,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/7,0.35,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/10,0.35,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/13,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/16,0.35,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/23,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/26,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/29,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/32,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/35,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/38,0.35,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/41,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/48,0.35,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/51,0.35,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/54,0.35,edge_existence,1,Yes,True,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/57,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/60,0.35,edge_existence,0,Yes,False,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/63,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/66,0.35,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/73,0.35,edge_existence,1,No,False,False,4.0,True,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/76,0.35,edge_existence,0,Yes,False,True,4.0,True,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/79,0.35,edge_existence,0,No,True,False,1.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/82,0.35,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/85,0.35,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/88,0.35,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/91,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/98,0.35,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/1,0.5,edge_existence,0,Yes,False,True,2.0,True,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/4,0.5,edge_existence,0,Yes,False,True,3.0,True,True,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.5/7,0.5,edge_existence,0,Yes,False,True,3.0,True,True,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.5/10,0.5,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.5/13,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.5/16,0.5,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/23,0.5,edge_existence,0,Yes,False,True,2.0,True,True,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/26,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/29,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.5/32,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.5/35,0.5,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.5/38,0.5,edge_existence,0,Yes,False,True,3.0,True,True,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.5/41,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/48,0.5,edge_existence,1,Yes,True,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/51,0.5,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/54,0.5,edge_existence,0,Yes,False,True,4.0,True,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.5/57,0.5,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.5/60,0.5,edge_existence,1,Yes,True,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.5/63,0.5,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.5/66,0.5,edge_existence,0,Yes,False,True,1.0,True,True,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/73,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/76,0.5,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/79,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.5/82,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.5/85,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.5/88,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.5/91,0.5,edge_existence,1,Yes,True,True,3.0,True,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/98,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/3,0.1,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/6,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/9,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/12,0.1,edge_existence,1,No,False,False,6.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/15,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/18,0.1,edge_existence,0,Yes,False,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/21,0.1,edge_existence,1,No,False,False,2.0,True,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/28,0.1,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/31,0.1,edge_existence,1,No,False,False,5.0,True,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/34,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/37,0.1,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/40,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/43,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/46,0.1,edge_existence,1,No,False,False,6.0,True,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/53,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/56,0.1,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/59,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/62,0.1,edge_existence,0,Yes,False,True,6.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/65,0.1,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/68,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/71,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/78,0.1,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/81,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/84,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/87,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/90,0.1,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/93,0.1,edge_existence,1,No,False,False,1.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/96,0.1,edge_existence,1,No,False,False,3.0,True,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/3,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/6,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/9,0.2,edge_existence,0,Yes,False,True,6.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/12,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/15,0.2,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/18,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/21,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/28,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/31,0.2,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/34,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/37,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/40,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/43,0.2,edge_existence,0,Yes,False,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/46,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/53,0.2,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/56,0.2,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/59,0.2,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/62,0.2,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/65,0.2,edge_existence,0,Yes,False,True,3.0,True,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/68,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/71,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.2/78,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.2/81,0.2,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.2/84,0.2,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.2/87,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.2/90,0.2,edge_existence,1,Yes,True,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.2/93,0.2,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.2/96,0.2,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/3,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/6,0.35,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/9,0.35,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/12,0.35,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/15,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/18,0.35,edge_existence,1,Yes,True,True,3.0,True,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/21,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/28,0.35,edge_existence,1,Yes,True,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/31,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/34,0.35,edge_existence,1,Yes,True,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/37,0.35,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/40,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/43,0.35,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/46,0.35,edge_existence,1,Yes,True,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/53,0.35,edge_existence,0,Yes,False,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/56,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/59,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/62,0.35,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/65,0.35,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/68,0.35,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/71,0.35,edge_existence,1,Yes,True,True,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.35/78,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.35/81,0.35,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.35/84,0.35,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.35/87,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.35/90,0.35,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.35/93,0.35,edge_existence,0,Yes,False,True,3.0,True,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.35/96,0.35,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/3,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/6,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/9,0.5,edge_existence,1,Yes,True,True,1.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.5/12,0.5,edge_existence,1,No,False,False,1.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.5/15,0.5,edge_existence,0,Yes,False,True,1.0,True,True,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.5/18,0.5,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.5/21,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/28,0.5,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/31,0.5,edge_existence,0,Yes,False,True,4.0,True,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/34,0.5,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.5/37,0.5,edge_existence,0,Yes,False,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.5/40,0.5,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.5/43,0.5,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.5/46,0.5,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.5/53,0.5,edge_existence,1,No,False,False,6.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.5/56,0.5,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.5/59,0.5,edge_existence,0,Yes,False,True,4.0,True,False,False,,,,,,,
